Stranica,Tekst
9,"<p>EKSCELENCIJO</p><p>Konačno izlazi na svjetlo ilirski rječnik, taj, kakav god bio, ali nipošto lak posao. U
  skromnoj nadi da će objavljivanje biti na opće zadovoljstvo, utječe Vam se i kiti
  prepoštovanim imenom Vaše Ekscelencije.</p><p>Prihvatio sam se ovoga djela prvenstveno zato da bih služio Dalmaciji, kojoj sam već
  odavno posvetio svoje skromne napore. Nastojao sam ne misliti samo na probitak koji bi
  Dalmacija mogla imati od rječnika napisana na svojem jeziku (premda taj jezik ne pripada
  samo njoj, to je jezik i mnogih drugih pokrajina, i to u opsegu nepoznatom u europskim
  okvirima) već i da je obradujem djelom urešenim imenom osobe kojoj Dalmacija duguje ne
  samo veliko poštovanje nego i ljubav. Nisam se morao mnogo truditi da takvu pronađem.
  Odmah su mi pale na pamet iznimne zasluge Vaše Ekscelencije.</p><p>Dalmacija se tijekom onih triju sretnih godina, kad ste bili njezin generalni providur,
  istodobno divila Vašoj izrazitoj izvrsnosti u ulozi upravitelja i oca koji je ponajviše
  žudio za budnošću, za odvažnošću, za blagošću i koji je posjedovao tako osobitu
  razboritost zbog koje su se najteži i najpogibeljniji pothvati privodili kraju s
  blagošću, ali i s odlučnošću.</p><p>Dakle, koliko je god kod svih na visokoj cijeni glasovitost podrijetla, za koje se
  Venecija oduvijek brinula i po kojem i dandanas postaju znameniti najugledniji
  službenici te divljenja dostojne, presvijetle i mudre Republike, toliko svima pamet i
  srce zaokupljaju one izvan-</p>"
10,"<p>redne i jedinstvene vrline kojima je Vaša Ekscelencija i jednima i drugima pridodala
  veći sjaj.</p><p>I uistinu, tko nije u Vašoj Ekscelenciji prepoznao nevjerojatnu velikodušnu
  širokogrudnost i posve iznimnu darežljivost! Tko je mogao poželjeti više obzirnosti i
  pažnje pri svakome susretu! Tko je po oštroumnosti bogatiji i nadareniji! Tko ima
  plemenitiji duh kojim nadvisuje sve osobne odnose! Tko ima više snage, čestitosti i
  milosrđa i svega drugoga što čini velikom i vrijednom pohvale osobu na visokom
  položaju!</p><p>Da barem ne moram uočiti proturječje između zadivljujuće skromnosti Vaše Ekscelencije i
  svoje želje da Vam izrazim štovanje, u čemu me priječi Vaše otklanjanje. Što li bih ja
  sada sve mogao reći o Vašoj Ekscelenciji, čijih sam glasovitih pothvata doživio slavu i
  imao čast uživati njihovu blagotvornu i časnu djelotvornost!</p><p>Vaša Ekscelencija više voli stjecati zasluge nego slušati kako ju netko podsjeća na
  njih, zato sam ja ovdje prisiljen da o njima s poštovanjem šutim. Primite, dakle, s
  Vašom uobičajenom blagonaklonošću ovo moje djelo, njime s radošću očitujem svoju
  neizmjernu zahvalnost i poštovanje što ću ih zauvijek imati prema Vašoj Ekscelenciji,
  kojoj istodobno posvećujem čitava sebe s dubokim uvažavanjem. Čast mi je izraziti svoju
  zahvalnost Vašoj Ekscelenciji.</p><p>Venecija, listopad 1728.</p><p>Najponizniji, najodaniji i najzahvalniji sluga</p><p>Ardelio Della Bella, Družbe Isusove</p>"
11,"<p>Autor čitatelju</p><p>Evo Vam, dobrohotni čitatelju, ovaj ilirski rječnik, koji su mnogi toliko priželjkivali,
  a ako ste Vi jedan on njih, uzdajem se u Vašu blagonaklonost da će Vam biti po volji.
  Njegovo je sastavljanje bilo mnogo mukotrpniji posao nego što biste na prvi pogled mogli
  zamisliti. Čitanje tolikih ilirskih knjiga u prozi i stihu i odabir najprikladnijih
  riječi i izraza te njihovo razvrstavanje prema abecednom redu bio je napor koji može
  shvatiti samo onaj koji ga je i sam iskusio.</p><p>Svaka revnost postaje laka ako um u njoj nalazi užitak. Kakvo li se uživanje doživljava
  u misaonoj spoznaji ili u onoj praktičnoj koje se stječu proučavanjem lijepih
  umjetnosti! Takve je ugodne i plemenite mentalne zabave posve lišen onaj koji sastavlja
  rječnike jer upravlja oči i um na gradivo koje je po sebi kao pustinje bijedne Arabije,
  kao neplodno more pijeska po kojemu je hod vrlo neugodan. Od takva me posla odvraćalo i
  mudro razmišljanje autora Onomasticona: “Oni koji namjeravaju izraditi rječnik prije
  nego što se prihvate posla, ponovno i ponovno neka promisle kakav teret na sebe
  preuzimaju: kako mučan, kako težak, kako pun dosade, kako nepodnošljiv, kako izložen
  cenzorima i cenzorčićima i kako podložan vrednovanju Aristarha i Momora.”</p><p>Takva su razmišljanja priječila moj duh da objavi ovo djelo premda su to mnogi, u više
  navrata, od mene zahtijevali. Ali, konačno, onaj tko je za mene poput Boga, naredio mi
  je da ga objavim. Morao sam se pokoriti i nadvladati svu svoju nevoljkost i poslušao sam
  s najvećom mogućom hitnjom. Žurba me spriječila da bolje rasporedim neke riječi.</p>"
12,"<p>Ovo će djelo pomoći prvenstveno onima koji žude da svoje plodonosno djelovanje posvete
  ilirskim misijama u tolikim prostranim pokrajinama u Europi. A koji je jezik toliko
  rasprostranjen poput ilirskoga, a možemo ga nazvati i slavenskim? Istra, Dalmacija,
  Koruška, Kranjska, Štajerska, Hrvatska, Moravska, Češka, Bosna, Srbija, Bugarska, Donja
  Madžarska, Raška, Transilvanija, Vlaška, Rusija, Moskovska pokrajina, Podolija i
  Poljska, sva ta velika kraljevstva i pokrajine i velik dio Tracije govore različite
  dijalekte ilirskoga jezika.</p><p>Čuo sam ispovijedi Bugara, stanovnika Raške i Poljaka i oni su me razumjeli, a i ja
  njih. Onomu koji se želi posvetiti apostolskoj službi u misijama, gramatičke upute i
  rječnik poslužit će da nauči ilirski jezik i da dobro izgovara riječi. Ali nužno je
  dobro naučiti vrijednost koju imaju naglasci, kako je protumačeno u uputama.</p><p>Kad govorim o misijama, ne smijem prešutjeti pastirsko pregalaštvo dalmatinskih prelata,
  koji su, nakon što su spoznali koliko su dobra učinili u njihovim dijecezama dvojica
  otaca Družbe Isusove u gradovima i selima, u vojarnama, na galijama, u bolnicama,
  zamolili godine 1616. presvijetloga providura da dodijeli dostatnu prebendu za
  uzdržavanje dvaju misionara Družbe Isusove u Dalmaciji: i oni su milostivo ostvarili
  svoju nakanu, zahvaljujući pobožnosti providura, ljubaznoga oca svojih podanika, koji
  dobro znade da poštivanje Božjeg zakona potiče kod puka vjernost svojemu vladaru.</p><p>Ovo bi djelo morali rado prihvatiti prelati koji upravljaju crkvama u Dalmaciji. Oh,
  kolika je korist kad puk razumije govor svojega pastira! Koliko znači kad mu mogu
  po-</p>"
13,"<p>vjeriti potrebe svojih duša! Koliko je važno da ga mogu obavijestiti o onim sablaznima
  koje svatko teško priznaje uz pomoć tumača, čiji prijevod često nije vjeran!</p><p>Preostaje mi još da Vam kažem da me odmah ne osuđujete ako nađete neke talijanske riječi
  koje nisu napisane prema sadašnjim ortografskim pravilima, kao npr.: otio, gratia,
  honore. Kad sam započeo prikupljati ilirske riječi za vlastitu uporabu, a ne za tisak,
  služio sam se različitim rječnicima, među kojima neki nisu bilježili spomenute riječi
  prema sadašnjoj ortografiji.</p><p>Narječje koje rabim je bosansko i dubrovačko koje se smatra najboljim. Citirani autori
  su Dubrovčani i Dalmatinci, kako ćete moći vidjeti iz popisa. Citiram Osmana, Suze sina
  razmetnoga i Pjesni pokorne kralja Davida Ivana Gundulića, Palmotićevu Kristijadu,
  Uzdahe Mandalijene pokornice, Psalme Davidove i Život sv. Benedikta Ignjata Đurđevića,
  djela pisana izvrsnim jezikom, kao što su i ostala djela drugih citiranih dubrovačkih i
  dalmatinskih autora. Mogao sam navoditi citate uz sve riječi, ali sam se od toga
  suzdržao da rječnik ne ispadne preopsežan.</p><p>Na kraju želim Vam dati na znanje da sam prije objavljivanja ovo djelo uputio na pregled
  presvijetlomu i prečasnomu monsinjoru Vincentu Zmajeviću, zadarskomu nadbiskupu, koji je
  vrlo vješt u ilirskom jeziku, a čuven je kao crkveni velikodostojnik po svojoj učenosti,
  razboritosti i pregalaštvu. Vrlo ga je brižljivo pregledao i prepoštovani prelat Ignjat
  Đurđević, dubrovački otac benediktinac, osoba učena i izobražena i izvrstan pjesnik na
  svojem materinskom jeziku. Pregledali su ga i drugi mjerodavni stručnjaci za ilirski
  jezik i svi su me oni oduvijek uvjeravali da ga objavim. Usprkos tomu, ako Vas,
  dobrohotni čitatelju, ne budem u nečemu zadovoljio, udostojite se barem prihvatiti moju
  iskrenu želju da Vam služim na veću slavu Božju. Živite u sreći.</p>"
14,"<p>POPIS</p><p>kratica autora citiranih u rječniku i iz kojih su također riječi bez citata</p><p>Alb. Oficij blažene Marije djevice, arhiđakona Albertija.</p><p>Babul. Različita djela Mihe Bunića-Babulinova.</p><p>Bun. Raz. Različita djela Džive Bunića-Vučića.</p><p>Bur. Različita djela Marina Borešića.</p><p>Drž. Raz. Različita djela Marina Držića.</p><p>Dimit. Djela Nikole Dimitrovića.</p><p>Dub. Dubravka, pastorala Ivana Gundulića.</p><p>Ekt. Različita djela Petra Hektorovića.</p><p>Ekt. Rib. Ribanje i ribarsko prigovaranje Petra Hektorovića.</p><p>Elek. Elektra, tragedija Dominka Zlatarića.</p><p>Gior. Različita djela Džore Držića.</p><p>Gior. Ps. Psalmi Davidovi protumačeni od Ignjata Đurđevića.</p><p>Gior. Raz. Različita djela Ignjata Đurđevića.</p><p>Lju. Ljub. Ljubmir, pastorala Dominka Zlatarića.</p><p>Guč. Pobožnost rozarija fra Anđela Gučetića.</p><p>Gund. Raz. Različita djela Ivana Gundulića.</p><p>Jejup. Jeđupka, pjesma Andrije Čubranovića.</p><p>Ivan. Različita djela Ivana Ivaniševića.</p><p>Kass. Djev. Perivoj od djevstva Bartola Kašića.</p><p>Kass. Is. Život gospodina našega Isukrsta istoga.</p><p>Kass. B. M. Život Divice Marije istoga.</p><p>Rit. Ritual Rimski istoga.</p><p>Kom. Zrcalo od ispovijedi Aleksandra Komulovića.</p><p>Luk. Različita djela Frane Lukarevića.</p><p>Mand. Bun. Mandalijena pokornica Džive Bunića-Vučića.</p><p>Mandal. Gior. Uzdasi Mandalijene pokornice Ignjata Đurđevića.</p><p>Max. Različita djela Marina Mažibradića.</p><p>Min. Trublja slovinska Vladislava Minčetića.</p><p>Nal. Različita djela Nikole Nalješkovića.</p><p>Nal. Kgn. Poslanice istoga.</p><p>Nal. Kom. Komedije istoga autora.</p><p>Osm. Osman, spjev Ivana Gundulića.</p><p>Pjes. Pok. Pjesni pokorne istoga.</p><p>Raz. Suze sina razmetnoga istoga.</p>"